hypatia/workflow_audit/missing_timeout_minutes	2527
hypatia/structural_drift/SD004	1486
hypatia/structural_drift/SD022	702
hypatia/structural_drift/SD007	540
hypatia/workflow_audit/unpinned_action	454
hypatia/cicd_rules/banned_language_file	382
hypatia/code_scanning_alerts/CSA001	381
hypatia/migration_rules/deprecated_api	368
hypatia/workflow_audit/secret_action_without_presence_gate	353
hypatia/security_errors/secret_detected	296
hypatia/cicd_rules/missing_requirement	242
hypatia/code_safety/expect_in_hot_path	205
hypatia/scorecard/SecurityPolicy	196
hypatia/code_scanning_alerts/CSA003	167
hypatia/structural_drift/SD009	166
hypatia/scorecard/DependencyPinning	165
hypatia/research_extensions/RE001	152
hypatia/code_safety/shell_download_then_run	152
hypatia/code_safety/unwrap_without_check	136
hypatia/code_safety/unsafe_block	117
hypatia/workflow_audit/missing_workflow	101
hypatia/code_safety/zig_ptr_cast	97
hypatia/research_extensions/RE005	83
hypatia/code_safety/getexn_on_external	72
hypatia/code_safety/as_ptr	63
hypatia/code_safety/obj_magic	60
hypatia/workflow_audit/codeql_missing_actions_language	57
hypatia/code_safety/js_innerhtml	50
hypatia/scorecard/StaticAnalysis	48
hypatia/content_patterns/hardcoded_tmp	47
hypatia/code_safety/zig_align_cast	45
hypatia/structural_drift/SD001	42
hypatia/honest_completion/no_tests	36
hypatia/structural_drift/SD003	35
hypatia/code_safety/from_raw	35
hypatia/root_hygiene/missing	30
hypatia/code_safety/js_exec_sync	27
hypatia/content_patterns/download_then_run_shell	25
hypatia/root_hygiene/banned	22
hypatia/content_patterns/known_fake_action_sha	22
hypatia/code_safety/zig_bit_cast	20
hypatia/code_safety/panic_macro	19
hypatia/workflow_audit/missing_permissions	18
hypatia/scorecard/TokenPermissions	18
hypatia/code_safety/lock_unwrap	17
hypatia/structural_drift/SD002	16
hypatia/code_safety/js_eval	14
hypatia/structural_drift/SD005	12
hypatia/research_extensions/RE008	12
hypatia/code_safety/json_decode_no_validation	12
hypatia/code_safety/coq_axiom	12
hypatia/research_extensions/RE004	11
hypatia/structural_drift/SD024	10
hypatia/content_patterns/eval_in_shell	10
hypatia/code_safety/obj_magic_ocaml	10
hypatia/scorecard/DependencyUpdate	9
hypatia/root_hygiene/stale	9
hypatia/workflow_audit/d_burn_double_trigger	8
hypatia/workflow_audit/codeql_language_matrix_mismatch	8
hypatia/content_patterns/npx_in_workflow	7
hypatia/code_safety/unimplemented_macro	7
hypatia/workflow_audit/scorecard_publish_with_run_step	6
hypatia/workflow_audit/unanchored_heading_regex	5
hypatia/workflow_audit/download_then_run	5
hypatia/git_state/GS007	5
hypatia/content_patterns/http_in_docs	5
hypatia/code_safety/unwrap_dangerous_default	5
hypatia/code_safety/mem_forget	5
hypatia/code_safety/js_wildcard_cors	5
hypatia/code_safety/js_http_url_in_code	5
hypatia/code_safety/agda_postulate	5
hypatia/code_scanning_alerts/CSA002	4
hypatia/code_safety/todo_macro	4
hypatia/code_safety/rwlock_unwrap	4
hypatia/code_safety/obj_repr	4
hypatia/code_safety/ncl_http_url	4
hypatia/code_safety/lean_axiom	4
hypatia/code_safety/elixir_send_unsanitised	4
hypatia/code_safety/believe_me	4
hypatia/workflow_audit/scorecard_wrapper_missing_job_permissions	3
hypatia/green_web/non_green_hosting	3
hypatia/code_safety/transmute	3
hypatia/code_safety/ncl_action_version_tag	3
hypatia/code_safety/elixir_port_open_shell	3
hypatia/code_safety/elixir_atom_from_user	3
hypatia/code_safety/ada_pragma_suppress	3
hypatia/structural_drift/SD023	2
hypatia/structural_drift/SD014	2
hypatia/code_safety/ncl_hardcoded_secret	2
hypatia/code_safety/isabelle_oops	2
hypatia/code_safety/elixir_no_ssl_verify	2
hypatia/code_safety/assert_smaller	2
hypatia/code_safety/ada_unchecked_access	2
hypatia/workflow_audit/invalid_actions_lock	1
hypatia/workflow_audit/actions_expression_injection	1
hypatia/structural_drift/SD011	1
hypatia/content_patterns/v_build_in_ci	1
hypatia/code_safety/unsafe_perform_io_hs	1
hypatia/code_safety/ncl_k9_missing_pedigree	1
hypatia/code_safety/ncl_banned_language_ref	1
hypatia/code_safety/manually_drop	1
hypatia/code_safety/lean_native_decide	1
hypatia/code_safety/js_insecure_random_security_context	1
hypatia/code_safety/js_deno_all_perms	1
hypatia/code_safety/ada_unchecked_conversion	1
