hyperpolymath/007-lang	403	0
hyperpolymath/0patch-lsa-sentinel	200	11
hyperpolymath/absolute-zero	200	48
hyperpolymath/academic-workflow-suite	200	5
hyperpolymath/AcceleratorGate.jl	200	22
hyperpolymath/accessibility-everywhere	200	42
hyperpolymath/achievements-lab	403	0
hyperpolymath/action-trust-layers	200	19
hyperpolymath/aerie	200	53
hyperpolymath/affinescript	200	180
hyperpolymath/affinescriptiser	200	45
hyperpolymath/aggregate-library	200	39
hyperpolymath/ai-cli-lab	403	0
hyperpolymath/airborne-submarine-squadron	200	69
hyperpolymath/alloyiser	200	79
hyperpolymath/ambientops	200	234
hyperpolymath/anamnesis	200	99
hyperpolymath/anvomidav	200	25
hyperpolymath/anvomidaviser	200	76
hyperpolymath/anytype	200	20
hyperpolymath/arghda-core	200	0
hyperpolymath/asdf-tool-plugins	200	98
hyperpolymath/aspasia	200	153
hyperpolymath/atsiser	200	80
hyperpolymath/avow-protocol	200	41
hyperpolymath/awesome-agda	404	0
hyperpolymath/awesome-coq	404	0
hyperpolymath/awesome-fsharp	404	0
hyperpolymath/awesome-gleam	200	38
hyperpolymath/awesome-haskell	200	11
hyperpolymath/awesome-idris2	200	15
hyperpolymath/awesome-ipfs	404	0
hyperpolymath/awesome-nickel	200	34
hyperpolymath/awesome-ocaml	404	0
hyperpolymath/awesome-provable	404	0
hyperpolymath/awesome-zig	200	36
hyperpolymath/axel-protocol	403	0
hyperpolymath/Axiology.jl	200	31
hyperpolymath/Axiom.jl	200	83
hyperpolymath/bebop-ffi	200	52
hyperpolymath/befunge93-vault-cracker	200	37
hyperpolymath/betlang	200	50
hyperpolymath/betlangiser	200	37
hyperpolymath/bgp-backbone-lab	200	36
hyperpolymath/bitfuckit	200	47
hyperpolymath/blocky-writer	200	53
hyperpolymath/blog-drafts	403	0
hyperpolymath/blue-screen-of-app	200	86
hyperpolymath/bofig	200	18
hyperpolymath/bofj-kitt	200	126
hyperpolymath/boinc-boinc	200	84
hyperpolymath/boj-server	200	161
hyperpolymath/boj-server-cartridges	200	41
hyperpolymath/BowtieRisk.jl	200	26
hyperpolymath/bqniser	200	37
hyperpolymath/branch-newspaper	200	83
hyperpolymath/bunsenite	200	152
hyperpolymath/cafescripto	200	95
hyperpolymath/candy-crash	200	102
hyperpolymath/cargo-zigbuild	200	9
hyperpolymath/casket-ssg	200	68
hyperpolymath/Causals.jl	200	19
hyperpolymath/cccp	200	25
hyperpolymath/chapeliser	200	84
hyperpolymath/checky-monkey	200	33
hyperpolymath/chimichanga	200	43
hyperpolymath/choreographic-types	403	0
hyperpolymath/cicd-squabbler	200	27
hyperpolymath/cicd-suite	200	0
hyperpolymath/civic-connect	200	36
hyperpolymath/Cladistics.jl	200	24
hyperpolymath/claude-config-vault	403	0
hyperpolymath/claude-gecko-browser-extension	200	35
hyperpolymath/claude-integrations	200	51
hyperpolymath/claude-memory	403	0
hyperpolymath/Cliodynamics.jl	200	7
hyperpolymath/Cliometrics.jl	200	6
hyperpolymath/cloudflare-dns-terraform	200	68
hyperpolymath/cloudguard-cli	200	80
hyperpolymath/cloudguard-server	200	37
hyperpolymath/cloud-sync-tuner	200	38
hyperpolymath/conative-gating	200	33
hyperpolymath/conflow	200	60
hyperpolymath/continuation-mesh	200	0
hyperpolymath/contractiles	200	80
hyperpolymath/contractiles-a2-lab	403	0
hyperpolymath/cookie-rebound	200	21
hyperpolymath/coord-tui	200	18
hyperpolymath/coq-jr	200	51
hyperpolymath/cut-calculus	403	0
hyperpolymath/cyo	200	18
hyperpolymath/dafniser	200	34
hyperpolymath/ddraig-ssg	404	0
hyperpolymath/deed-core	404	0
hyperpolymath/deed-ecosystem	200	0
hyperpolymath/deed-validate-action	200	0
hyperpolymath/defiant	200	122
hyperpolymath/developer-ecosystem	200	793
hyperpolymath/dev-notes	403	0
hyperpolymath/dev-notes-vault	403	0
hyperpolymath/dictask	200	36
hyperpolymath/dicti0nary-attack	200	53
hyperpolymath/docmatrix	200	13
hyperpolymath/docudactyl	200	59
hyperpolymath/dotfiles	403	0
hyperpolymath/dotmatrix-fileprinter	200	53
hyperpolymath/double-track-browser	200	104
hyperpolymath/echidna	200	186
hyperpolymath/echidnabot	200	29
hyperpolymath/echobox	403	0
hyperpolymath/echo-types	200	24
hyperpolymath/EchoTypes.jl	404	0
hyperpolymath/eclexia	200	89
hyperpolymath/eclexiaiser	200	38
hyperpolymath/email-octad-experiment	403	0
hyperpolymath/empty-linter	200	25
hyperpolymath/ensaid-spec	200	17
hyperpolymath/ephapax	200	61
hyperpolymath/ephapaxiser	200	38
hyperpolymath/epistemic-types	200	0
hyperpolymath/error-lang	200	9
hyperpolymath/excel-economic-numbers-tool	200	35
hyperpolymath/Exnovation.jl	200	25
hyperpolymath/explicit-trust-plane	200	19
hyperpolymath/explore	404	0
hyperpolymath/feedback-o-tron	200	27
hyperpolymath/ffmpeg-ffi	200	34
hyperpolymath/filesoup	200	39
hyperpolymath/fireflag	200	16
hyperpolymath/firmboot	200	0
hyperpolymath/FirmwareAudit.jl	200	20
hyperpolymath/first-post	200	66
hyperpolymath/flat-mate	200	26
hyperpolymath/flatracoon	200	25
hyperpolymath/formatrix-docs	200	13
hyperpolymath/frayed-knot-toolkit	403	0
hyperpolymath/fraying-model-computational-testbed	200	55
hyperpolymath/futharkiser	200	37
hyperpolymath/game-server-admin	200	6
hyperpolymath/gitbot-fleet	200	37
hyperpolymath/.github	200	0
hyperpolymath/.git-private-farm	403	0
hyperpolymath/git-reticulator	200	45
hyperpolymath/git-scripts	200	19
hyperpolymath/git-seo	403	0
hyperpolymath/glyphbase	200	37
hyperpolymath/gnpl	200	10
hyperpolymath/grim-repo	200	72
hyperpolymath/gsbot	200	0
hyperpolymath/gv-clade-index	200	9
hyperpolymath/HackenbushGames.jl	200	24
hyperpolymath/haec	403	0
hyperpolymath/halideiser	200	84
hyperpolymath/HardwareResilience.jl	200	20
hyperpolymath/hermeneia	403	0
hyperpolymath/hesiod-dns-map	200	37
hyperpolymath/heterogenous-mobile-computing	200	81
hyperpolymath/HOL	403	0
hyperpolymath/homebrew-tap	200	25
hyperpolymath/hotchocolabot	404	0
hyperpolymath/hpm-crypto-rsr	404	0
hyperpolymath/hpm-github-api-rsr	404	0
hyperpolymath/hpm-http-client-rsr	404	0
hyperpolymath/hpm-json-rsr	404	0
hyperpolymath/http-capability-gateway	200	19
hyperpolymath/hybrid-automation-router	200	70
hyperpolymath/hypatia	200	231
hyperpolymath/hyperpolymath	200	5
hyperpolymath/hyperpolymath.github.io	200	31
hyperpolymath/Hyperpolymath.jl	200	20
hyperpolymath/hyperpolymath-sovereign-registry	403	0
hyperpolymath/ideas-to-alphas	200	108
hyperpolymath/idrisiser	200	87
hyperpolymath/i-human	200	9
hyperpolymath/im-docs	200	20
hyperpolymath/info	403	0
hyperpolymath/infrastructure-automation	200	27
hyperpolymath/intsoc-transactor	200	77
hyperpolymath/invariant-path	200	40
hyperpolymath/InvestigativeJournalism.jl	200	25
hyperpolymath/ipfs-overlay	200	57
hyperpolymath/ipv6-only	200	49
hyperpolymath/ipv6-site-enforcer	200	35
hyperpolymath/ipv6-tools	200	55
hyperpolymath/iseriser	200	45
hyperpolymath/jaffascript	200	9
hyperpolymath/januskey	200	130
hyperpolymath/jewell.nexus	403	0
hyperpolymath/jonathanjewell.dev	403	0
hyperpolymath/jtv-halting-islands-ct	403	0
hyperpolymath/jtv-lang	200	87
hyperpolymath/julia-ecosystem	200	46
hyperpolymath/JuliaForChildren.jl	200	36
hyperpolymath/JuliaKids.jl	200	43
hyperpolymath/julianiser	200	40
hyperpolymath/JuliaPackage-Reuse-Audit.jl	200	11
hyperpolymath/julia-professional-registry	200	34
hyperpolymath/k9-ecosystem	200	3
hyperpolymath/kaldor-iiot	200	72
hyperpolymath/kategoria	200	39
hyperpolymath/kea	200	39
hyperpolymath/kitchenspeak	200	27
hyperpolymath/knot-rider	200	81
hyperpolymath/KnotTheory.jl	200	66
hyperpolymath/krl	200	25
hyperpolymath/laminar	200	39
hyperpolymath/laniakea	200	95
hyperpolymath/launch-scaffolder	200	17
hyperpolymath/lcb-website	403	0
hyperpolymath/lfs-shared	403	0
hyperpolymath/linguist	403	0
hyperpolymath/lithoglyph	200	75
hyperpolymath/live-files	200	46
hyperpolymath/llm-grace	200	76
hyperpolymath/lol	404	0
hyperpolymath/LowLevel.jl	200	24
hyperpolymath/lua-filters	403	0
hyperpolymath/lucidscript	200	95
hyperpolymath/lustreiser	200	39
hyperpolymath/maa-framework	200	56
hyperpolymath/MacroPower.jl	200	21
hyperpolymath/manifesto	200	22
hyperpolymath/marches	200	1
hyperpolymath/me-dialect	200	26
hyperpolymath/megadog	200	5
hyperpolymath/memory-vault	403	0
hyperpolymath/metadata-grammar	200	41
hyperpolymath/methodologies	200	77
hyperpolymath/misinformation-defence-platform	200	39
hyperpolymath/modshells	200	24
hyperpolymath/multiterm	403	0
hyperpolymath/my-lang	200	41
hyperpolymath/mylangiser	200	37
hyperpolymath/nafa-app	200	41
hyperpolymath/natsci-studio	200	32
hyperpolymath/nesy-solver	200	49
hyperpolymath/network-ambulance	200	107
hyperpolymath/network-dashboard	200	64
hyperpolymath/network-outpost	200	1
hyperpolymath/neural-foundations	200	63
hyperpolymath/neurophone	200	63
hyperpolymath/nexia-list	200	9
hyperpolymath/nextgen-databases	200	54
hyperpolymath/nextgen-language-evangeliser	200	21
hyperpolymath/nextgen-languages	200	85
hyperpolymath/nextgen-typing	200	63
hyperpolymath/nickel-augmentation	200	58
hyperpolymath/nimiser	200	34
hyperpolymath/no-nonsense-nntps	200	59
hyperpolymath/not-so-serious-software	200	18
hyperpolymath/oblibeniser	200	39
hyperpolymath/oblibeny	200	29
hyperpolymath/ochrance	200	37
hyperpolymath/ochrance-framework	200	14
hyperpolymath/odds-and-sods-package-manager	200	85
hyperpolymath/oikosbot	200	10
hyperpolymath/oikosbot-estate	404	0
hyperpolymath/oikos-economics-accounting-dsl	200	49
hyperpolymath/otpiser	200	43
hyperpolymath/palimpsest-license	200	23
hyperpolymath/panic-attack	200	106
hyperpolymath/panll	200	89
hyperpolymath/panoply	200	81
hyperpolymath/patallm-gallery	200	244
hyperpolymath/patch-bridge	200	61
hyperpolymath/phantom-metal-taste	200	39
hyperpolymath/php-aegis	200	49
hyperpolymath/phronesis	200	8
hyperpolymath/phronesiser	200	39
hyperpolymath/pimcore-fortress	200	38
hyperpolymath/plasma-parser-writer	200	35
hyperpolymath/polyglot-formalisms-elixir	200	33
hyperpolymath/polyglot-formalisms-gleam	200	35
hyperpolymath/PolyglotFormalisms.jl	200	24
hyperpolymath/polyglot-i18n	200	123
hyperpolymath/poly-k8s-mcp	200	56
hyperpolymath/poly-observability-mcp	403	0
hyperpolymath/polysafe-gitfixer	200	29
hyperpolymath/polystack	403	0
hyperpolymath/pons-asinorum	200	1
hyperpolymath/ponyiser	200	39
hyperpolymath/PostDisciplinary.jl	200	75
hyperpolymath/pow-the-game	200	27
hyperpolymath/PRComms.jl	200	75
hyperpolymath/preference-injector	200	29
hyperpolymath/presswerk	200	100
hyperpolymath/project-wharf	200	55
hyperpolymath/proof-burrower	200	112
hyperpolymath/proof-of-work	200	42
hyperpolymath/protocol-squisher	200	97
hyperpolymath/proven	200	265
hyperpolymath/proven-servers	200	359
hyperpolymath/proven-tests-and-benches	200	5
hyperpolymath/pseudoscript	200	9
hyperpolymath/quandledb	200	61
hyperpolymath/QuantumCircuit.jl	200	20
hyperpolymath/qubes-sdp	200	71
hyperpolymath/rattlescript	200	7
hyperpolymath/raze-tui	200	45
hyperpolymath/reasonably-good-token-vault	200	23
hyperpolymath/recon-silly-ation	200	86
hyperpolymath/refugia	200	21
hyperpolymath/-REPO-	403	0
hyperpolymath/repo-guardian	404	0
hyperpolymath/reposystem	200	36
hyperpolymath/rescript	403	0
hyperpolymath/rescript-ecosystem	200	20
hyperpolymath/residual-evidence-types	404	0
hyperpolymath/resource-record-fluctuator	200	35
hyperpolymath/road-skate	200	64
hyperpolymath/robodog-defensive-systems-lab	200	39
hyperpolymath/robot-vacuum-cleaner	200	106
hyperpolymath/rpa-elysium	200	62
hyperpolymath/rrecord-verity	200	30
hyperpolymath/rsr-julia-library-template-repo	200	77
hyperpolymath/rsr-template-how-to	403	0
hyperpolymath/rsr-template-repo	200	66
hyperpolymath/rsr-template-repo-experiment	403	0
hyperpolymath/safe-brute-force	200	31
hyperpolymath/sanctify-php	200	34
hyperpolymath/scaffoldia	200	70
hyperpolymath/scripts	200	34
hyperpolymath/sdp-hkdf-deployment	200	28
hyperpolymath/seamstress	200	55
hyperpolymath/self-destructing-git-garbage	404	0
hyperpolymath/servers	403	0
hyperpolymath/session-sentinel	200	39
hyperpolymath/ShellIntegration.jl	200	20
hyperpolymath/SiliconCore.jl	200	20
hyperpolymath/Skein.jl	200	17
hyperpolymath/SMTLib.jl	200	27
hyperpolymath/smtp-notify-action	404	0
hyperpolymath/snapcreate	200	36
hyperpolymath/snifs	200	32
hyperpolymath/social-media-polygraph	200	44
hyperpolymath/social-media-tools	200	74
hyperpolymath/SoftwareSovereign.jl	200	21
hyperpolymath/somethings-fishy	200	19
hyperpolymath/squeakwell	200	33
hyperpolymath/squisher-corpus	403	0
hyperpolymath/ssg-collection	200	35
hyperpolymath/standards	200	47
hyperpolymath/stateful-artefacts	200	175
hyperpolymath/statistikles	200	15
hyperpolymath/supernorma	200	47
hyperpolymath/systemet	200	80
hyperpolymath/tangle	200	33
hyperpolymath/technical-notes	200	12
hyperpolymath/tentacles-agentic-syllabus	200	21
hyperpolymath/thejeffparadox	200	35
hyperpolymath/the-metadatastician	200	18
hyperpolymath/the-nash-equilibrium	200	107
hyperpolymath/thunderbird-template-reloaded	200	40
hyperpolymath/tlaiser	200	38
hyperpolymath/tma-mark2	403	0
hyperpolymath/TradeUnionism.jl	200	27
hyperpolymath/tree-navigator	200	32
hyperpolymath/trigger	200	47
hyperpolymath/trope-checker	403	0
hyperpolymath/trope-particularity-workbench	403	0
hyperpolymath/tropical-types	200	19
hyperpolymath/twingate-helm-deploy	200	26
hyperpolymath/typedqliser	200	41
hyperpolymath/typed-wasm	200	68
hyperpolymath/typefix-zero	403	0
hyperpolymath/typell	200	41
hyperpolymath/ubicity	200	94
hyperpolymath/unified-dataset-vocab	200	32
